time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450950000	11.4742	21.0342	4.87079	3.16468	0.608966	radar	1.06949	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2718	21.0219	4.77116	3.19749	0.613924	lidar	0.625971	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0161	20.9837	4.80925	3.2362	0.622395	radar	4.15327	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8185	20.9412	4.70542	3.27612	0.634704	lidar	0.379871	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.58	20.9348	4.5868	3.28589	0.59207	radar	5.47053	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2711	20.9752	4.79475	3.27777	0.544829	lidar	3.82304	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0368	20.9543	4.78319	3.29872	0.536892	radar	1.00915	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.86256	20.9107	4.63806	3.33361	0.549525	lidar	1.36049	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.64829	20.8926	4.4744	3.34104	0.511822	radar	1.77983	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.46496	20.8429	4.39197	3.37243	0.520314	lidar	0.406069	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.25869	20.7945	4.4154	3.40028	0.527038	radar	1.4043	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.9213	20.7788	4.69891	3.39023	0.479726	lidar	3.48827	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.71857	20.6955	4.67012	3.42941	0.500811	radar	4.24572	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.41116	20.6205	4.86743	3.44288	0.483192	lidar	3.15341	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.18099	20.5413	4.88487	3.47049	0.489233	radar	0.0620798	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92872	20.463	4.93534	3.48974	0.482291	lidar	0.12926	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.70965	20.3785	4.98319	3.52037	0.498389	radar	3.33272	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.36474	20.3256	5.22942	3.50666	0.450059	lidar	2.77067	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.12251	20.2336	5.18377	3.52481	0.440288	radar	0.281331	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.85512	20.1488	5.24248	3.53578	0.426901	lidar	0.204558	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.62502	20.0596	5.17122	3.5515	0.416812	radar	0.61506	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.38517	19.9654	5.17539	3.5677	0.411723	lidar	0.126456	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.16729	19.8729	5.13602	3.58648	0.411592	radar	3.0433	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.90452	19.7778	5.19909	3.5939	0.395755	lidar	0.309956	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.65436	19.6364	5.3509	3.62506	0.417648	radar	1.59199	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.51583	19.5057	5.1396	3.66991	0.449185	lidar	2.31927	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.31315	19.3575	5.13035	3.70328	0.463777	radar	1.86174	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.11262	19.2534	5.07477	3.71883	0.456857	lidar	2.01344	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.93964	19.1395	4.88355	3.73827	0.447897	radar	4.58934	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79589	18.99	4.77584	3.77929	0.471867	lidar	0.653599	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
